City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,praia da vitoria,38.7333,-27.0667,27.14,69,20,4.15,PT,1721068927
346,panyam,9.4167,9.2167,20.47,90,100,1.48,NG,1721068928
347,ampanihy,-24.7,44.75,17.71,88,0,1.46,MG,1721068930
348,broken hill,-31.95,141.4333,6.2,88,69,6.64,AU,1721068931
349,kosh-agach,50.0,88.6667,15.32,44,15,1.44,RU,1721068932
350,port lincoln,-34.7333,135.8667,11.55,69,100,7.02,AU,1721068933
351,posto fiscal rolim de moura,-13.0833,-62.2667,30.47,30,0,1.84,BR,1721068935
352,paraty,-23.2178,-44.7131,21.64,81,62,1.57,BR,1721068936
353,kapuskasing,49.4169,-82.4331,23.05,60,100,1.03,CA,1721068939
354,lo prado,-33.4443,-70.7255,17.63,43,100,1.54,CL,1721068940
355,arica,-18.475,-70.3042,19.75,67,0,4.63,CL,1721068941
356,shiyan,32.6475,110.7781,24.24,97,100,0.55,CN,1721068942
357,pokaran,26.9167,71.9167,37.39,37,100,5.23,IN,1721068944
358,la sarre,48.8002,-79.1996,25.74,55,12,3.43,CA,1721068945
359,nemuro,43.3236,145.575,15.2,98,62,3.02,JP,1721068946
360,prince george,53.9166,-122.753,25.69,44,0,3.6,CA,1721068947
361,severo-yeniseyskiy,60.3725,93.0408,14.06,94,24,1.01,RU,1721068949
362,kailua-kona,19.6406,-155.9956,26.98,91,40,2.06,US,1721068951
